appendComment,pics,Sterne,rateContent,rateDate,reply,serviceRateContent,userInfo
,,5,"衣服不错,大小合适。",2015-05-24 12:48:10,,,
,,5,非常满意。 穿起来很舒适。,2015-05-24 12:16:43,,,
,,5,不错，就是买大了,2015-05-24 11:54:20,,,
,,5,很好，号码稍大,2015-05-24 09:46:01,,,
,,5,不错\n不错,2015-05-24 05:33:47,,,
,,5,彪马的号怎么这么大，xxl简直大几个号，还花了我20改衣服。,2015-05-23 18:14:14,,,
,,5,不错，好评。,2015-05-23 17:17:13,,,
,//img.alicdn.com/bao/uploaded/i4/140340100965736228/TB2yAsDcFXXXXbNXXXXXXXXXXXX_!!2235554034-0-rate.jpg,5,受到货了 真的很满意,2015-05-23 15:09:36,,,
,,5,质量不错～,2015-05-23 13:47:37,,,
,,1,在网上买这么多次东西，从来没有像这次这样，差的一塌糊涂，实在太失望，要求退货居然打电话都找不到人，反正绝对不会再买了,2015-05-23 13:12:23,,,
,,5,包装不错，到石家庄就2天多，很快，就是客服回复慢，估计有点忙。满意！,2015-05-23 10:33:28,,,
,,5,很满意,2015-05-23 10:26:27,,,
,,5,很好，卖家服务好，发货超级快。5分好评,2015-05-23 09:36:38,,,
,,5,很好,2015-05-22 20:18:24,,,
,,5,质量一般,2015-05-22 20:14:46,,,
242174216719|2015-05-22 18:25:29|差评差评差评|0||您好，关于您反馈的情况，我们进行了核实。您由于尺码问题申请退换货，根据店铺规则您寄回的运费我们是无法承担的，不过店铺有赠送运费险，退款成功后，保险公司会赔付一部分，其实你个人承担的部分很少。对于你说的商品尺码问题，每个品牌的尺码都是会不同的， 我们店铺的商品根据设计不同，剪裁也会不同，为了区分不同店铺会在网页上标识“国际码”和“亚洲码”哦！期待下次带给您更好的购物体验，非常感谢您对于我们的支持！,"//img.alicdn.com/bao/uploaded/i3/139260100896867674/TB2kGswcFXXXXXUXXXXXXXXXXXX_!!747193926-0-rate.jpg,//img.alicdn.com/bao/uploaded/i1/139260100896899120/TB2lKZmcFXXXXcXXXXXXXXXXXXX_!!747193926-0-rate.jpg,//img.alicdn.com/bao/uploaded/i3/139260100896932505/TB2MMsacFXXXXbsXpXXXXXXXXXX_!!747193926-0-rate.jpg",5,平时都是XL码，今天收到衣服一打开 就觉得衣服这么大，回家一比，一个尺码偏大这么多，要求换货，客服还要我出来回运费，不合理。下面有图 尺寸差的太多。 卖家没有标示衣服偏大。,2015-05-22 18:22:56,,不好,
,,4,太容易粘毛毛了,2015-05-22 17:29:43,,,
,,5,老公穿了很帅,2015-05-22 15:56:50,,,
,,5,衣服质量挺好的 款式是我喜欢的那种简单 大方 个人很喜欢,2015-05-22 07:35:53,,,
,,3,码子太大！！200斤的人穿xl。。。,2015-05-21 22:32:44,,,
,,5,码偏大，版型不错价格划算,2015-05-21 22:21:37,,,
,,5,"衣服不错,点个赞",2015-05-21 21:21:11,,,
,,5,有点偏大，不知道会不会褪色,2015-05-21 20:50:00,,,
,,5,衣服质量挺好，服务态度非常好5分，下应该换个颜色��,2015-05-21 19:12:03,,,
,,5,好，正品！,2015-05-21 19:11:41,,,
,,5,不好意思。确认收货迟了。宝贝很棒?是我想要的尺码。客服棒棒棒?绝对信任。物流是我信任的。全部5分,2015-05-21 17:54:41,,,
,,5,质量不错,2015-05-21 16:55:38,,,
,,5,还不错,2015-05-21 14:51:28,,,
,,5,衣服很好，快递很快，客服态度很好，不错,2015-05-21 12:56:51,,,
,,5,不错的T恤，尺码正好，偏瘦的人应该小一码，整体不错,2015-05-21 12:00:30,,,
,,4,还行吧。。。轻飘飘的感觉，就是这个价格的商品再收取快递费挺让人郁闷。。。,2015-05-21 11:11:05,您好，感谢您对于PUMA的支持，店铺的运费是PUMA和快递公司合作签署决定的，并不是我们私自订的价格，所以非常抱歉不能随意修改，您的意见对于我们很重要，我们会反馈给相关部门，以便做到更好，我们会竭诚为您服务，祝您生活愉快，谢谢！,,
,,4,号码绝对偏大,2015-05-21 08:28:06,,,
,,5,东西还不错,2015-05-20 23:03:58,,好,
,,5,非常好，强烈推荐大家购买！！！,2015-05-20 21:56:46,,,
,,5,质量很好，面料很软，手敢不错，就是穿着有点偏大，物流很给力，,2015-05-20 21:13:18,,,
,,5,服务态度很好 物流很快 五星,2015-05-20 21:03:21,,,
,,5,质量真差，不值这个钱，号码偏大不是正品,2015-05-20 20:44:56,您好，首先给您带来不便非常抱歉，针对您的反馈意见我们也十分的重视，但是需要和您进行下解释，我们PUMA官方店是天猫平台唯一一家旗舰店，也是唯一一家店铺直营店，针对商品是否是正品的问题上您绝对可以放心！我们店铺承诺7天无理由退货，如对于产品有任何问题您可以随时联系旺旺在线客服哦，我们也会不断改进我们的商品质量以及服务，期待下次带给您更好的购物体验，非常感谢您对于我们的支持OO,,
,,5,这么多年没买到这么合适的T恤了，比三叶草的上身舒服，而且穿着大小正好，好评！,2015-05-20 20:28:32,,,
,,4,码太大,2015-05-20 19:42:39,,,
,,3,居然还收邮费，呵呵,2015-05-20 16:13:13,,,
,,5,先前买大了，马上给更换了一件，客服服务好，相当满意的一次网购,2015-05-20 14:10:02,,,
,,5,衣服是短胖型的，老公183身高，195斤，客服说xxL号能穿，穿上又短又胖，280斤以上都能穿的胖衣，退换货那费劲，只好花钱拿去修修，非常生气,2015-05-20 13:58:42,,,
,//img.alicdn.com/bao/uploaded/i2/143210100699521060/TB2aGKTcVXXXXa1XXXXXXXXXXXX_!!1112224321-0-rate.jpg,5,很好， 好评， 卖家推荐的尺码很合适， 就是邮费有点贵,2015-05-20 10:35:31,,,
,,5,老公穿着挺帅气的，很合身，质量不错，是正品,2015-05-19 21:22:08,,,
,,5,还可以，跟专卖店一样，价格也差不多,2015-05-19 20:48:59,,,
,,5,帮别人买的,2015-05-19 20:24:03,,,
,,5,太大了 。我这样的身材穿着 居然还大不少 其他还好,2015-05-19 16:45:35,,,
,,5,衣服很好 喜欢,2015-05-19 16:29:29,,,
,,5,质量很好，手感不错，款式很好,2015-05-19 13:45:52,,卖家快递服务都很好,
,,5,还好,2015-05-19 12:50:04,,还好 习惯好评,
,,5,尺码有点大其他多还可以,2015-05-19 11:45:49,,,
241946050199|2015-06-02 18:35:39|穿左半个月。感觉就是垃圾做的衣服。变型。掉毛！如果他说是正品那就是国产货的问题 反正这家店就是山寨货的店。。大家不要给好评论骗拉。|14||,//img.alicdn.com/bao/uploaded/i4/15137081283646303/TB2ZyStcVXXXXcAXXXXXXXXXXXX_!!132855137-0-rate.jpg,1,超失望。。感觉垃圾做的衣服。起毛是通病。。掉毛就是问题。。掉拉一身毛。只能说国产货真没什么好东西。淘宝更是假货市场。。无语啊。洗拉水退不了。。不想老板找我麻烦给个中评吧！！！！！！！,2015-05-19 11:36:49,,,
,,5,情侣装 超级赞 我俩穿的都很合适~我平常穿L这次xl刚合适 他平常xxl这次xl刚好 供参考~,2015-05-19 10:56:09,,,
,,5,不错的衣服，很宽松，适合运动。,2015-05-19 10:52:51,,,
,,5,衣服很宽松，适合运动穿，老爷子很喜欢！,2015-05-19 10:52:51,,快递是第二天发出来的，还算及时！,
,,5,挺舒服,2015-05-19 10:10:32,,,
,,5,五星的店铺。五星的服务，五星的态度。，下次还来。生意兴隆。。。好评，，五星。。，,2015-05-19 10:10:31,,,
,,5,五星的店铺。五星的服务，五星的态度。，下次还来。生意兴隆。。。好评，，五星。。，,2015-05-19 10:10:31,,,
,,5,衣服不错，码子大了一点,2015-05-19 08:36:27,,,
,,5,同事的儿子很喜欢，小一个号正合适。质量也不错，穿上很大气。,2015-05-19 08:12:40,,,
,,5,快递非常块，东西也不错,2015-05-19 07:55:48,,,
,,2,太肥了，不是一般的肥！,2015-05-19 06:21:52,,,
,,5,态度好 质量杠杠,2015-05-18 20:22:34,,,
,,5,不错，穿着挺舒服的,2015-05-18 19:59:47,,,
,,5,全棉，柔软，很好,2015-05-18 19:18:57,,,
,,5,不错，满意。,2015-05-18 19:03:29,,,
,,5,正品！物美价廉！,2015-05-18 16:13:24,,,
,,5,尺码相差太大，洗完严重缩水！,2015-05-18 15:55:19,,,
,,5,质量很好物流挺快是真货,2015-05-18 15:38:20,,,
,,5,很好的衣服，稍瘦但也不错，物流飞快很满意。,2015-05-18 15:36:55,,,
,,5,很不错的，很喜欢，穿上很好看,2015-05-18 13:26:48,,,
,,5,太大,2015-05-18 00:34:16,,,
,,5,好好好,2015-05-17 21:41:58,,,
,,1,防的，和专卖店有差别....,2015-05-17 21:41:26,,,
,,3,号大了点，但可以穿。,2015-05-17 18:00:12,,,
,,5,不错，正品彪马，很适合我,2015-05-17 15:09:11,,,
,,5,一般,2015-05-17 11:14:54,,,
,,2,商家说168，100斤的女生穿l号就可以，结果买来呢，呵呵。,2015-05-17 10:10:54,,,
,,5,官方旗舰店的东西还用质疑吗？发货很快哦！,2015-05-17 08:41:43,,,
,,5,拿回来。真心太大了。就给退了。客服超赞。快速的帮我处理。,2015-05-16 19:45:03,,,
,,5,衣服不错，穿起来很帅,2015-05-16 18:42:46,,,
,,5,挺好的,2015-05-16 17:05:52,,,
,,5,挺好,2015-05-16 13:47:27,,,
,,5,还不错,2015-05-16 12:48:49,,,
,,5,haihao,2015-05-16 10:35:06,,,
,,5,看着不错，希望不要掉色,2015-05-16 02:12:52,,物流很快,
,,1,垃圾，物流慢，条码不符,2015-05-15 23:40:42,您好，感谢您对于PUMA的支持！关于您反馈的物流问题，我们进行了了解。您5/11晚上下单，5/12仓库发货，5/15网页显示签收。一般发货后得3-5天可以到达，您在发货后的3天后受到商品，属于正常配送的时间内哦。另外条形码问题，目前扫码工具都是手机自带的，不是PUMA研发的，所以，有些是无法扫出的。而且扫码一般是零售商对于商品的一个监管，我们的商品由于是从PUMA仓库直接发货的，所以，少了很多环节,,
,,5,有点大(>﹏<)180的男生穿,2015-05-15 23:18:59,,,
241567775670|2015-05-20 22:53:43|是真的 不错|5||,,5,,2015-05-15 22:43:10,,,
,,5,虽然有插曲，还是比较满意的,2015-05-15 20:38:41,,,
,,5,还好，就是码号不正确，偏大，,2015-05-15 20:24:55,,,
,,5,是正品   很好看下次再来,2015-05-15 19:43:39,,,
241570562691|2015-05-15 17:30:55|今天刚到，不错。|0|//img.alicdn.com/bao/uploaded/i3/189120100513323242/TB22vlecVXXXXacXpXXXXXXXXXX_!!926058912-0-rate.jpg|,,5,质量可以。大小合身！,2015-05-15 17:22:36,,,
,,5,还可以，有点胖。关键是还不包邮,2015-05-15 15:17:25,您好，感谢您对于PUMA的支持，店铺的运费是PUMA和快递公司合作签署决定的，并不是我们私自订的价格，所以非常抱歉不能随意修改，您的意见对于我们很重要，我们会反馈给相关部门，以便做到更好，我们会竭诚为您服务，祝您生活愉快，谢谢！,,
